Rank;SJR-index;CiteScore;H-index;Total Docs.;Total Docs. 3y;Total Refs.;Total Cites 3y;Citable Docs. 3y;Cites/Doc. 2y;Refs./Doc.
52;11774;593;362;180;553;5536;12338;339;2226;3076
53;11561;655;92;6;14;3396;510;14;3713;5660
54;11388;609;155;82;282;8198;8960;180;2687;9998
56;11191;302;90;193;423;10743;7947;398;1983;5566
57;11154;420;316;29;94;4437;2389;94;1713;1530
58;10967;461;90;101;265;8804;4661;160;1742;8717
59;10927;383;84;175;481;4335;7731;276;1718;2477
60;10921;410;424;289;748;9841;10975;517;1494;3405
61;1091;157;358;67;218;7645;2908;217;1085;1141
62;10871;95;75;39;123;1945;798;123;587;4987
63;10802;221;268;58;172;4136;2659;149;1242;7131
64;10687;184;293;40;167;3583;2162;153;1333;8958
65;10644;470;81;18;59;2804;1410;59;2292;15578
66;10601;113;289;203;495;11785;4793;491;85;5805
68;10396;602;349;172;509;9138;12415;362;2439;5313
69;10247;102;67;33;90;3832;742;90;555;11612
70;10227;446;219;208;601;9741;11449;522;2053;4683
71;10178;564;173;166;448;9207;10502;272;211;5546
72;10163;396;600;575;1639;16901;25122;1168;163;2939
73;10037;490;318;176;669;10589;14060;591;1945;6016
74;9963;358;166;29;86;3392;2111;56;1943;11697
75;9937;471;74;8;24;2605;649;24;2244;32563
77;9817;208;44;169;285;6671;3373;183;1184;3947
78;9568;385;396;217;521;9787;8513;410;1211;451
79;9541;292;429;401;1272;24865;17436;1183;1186;6201
80;9538;455;605;1893;4328;146585;130832;4284;2906;7744
81;934;441;52;134;346;7897;5196;170;1299;5893
82;9249;255;284;264;921;17776;13885;888;1107;6733
83;9226;473;266;30;86;4448;2659;83;2689;14827
84;9187;449;121;254;668;12162;12048;478;2094;4788
85;9156;354;287;153;582;8860;8530;504;1443;5791
86;9061;472;180;23;76;9337;2193;74;2625;40596
87;9044;426;290;811;2032;69739;56578;2020;2748;8599
88;8703;649;171;210;484;17736;17050;436;2885;8446
89;8628;538;143;0;83;0;2315;83;2619;0
90;859;158;213;41;128;2638;1557;127;843;6434
91;8588;474;328;409;995;12826;16786;632;1585;3136
92;8515;675;210;83;174;27307;8117;173;4341;3290
93;8497;117;318;122;278;9819;2915;275;878;8048
94;8389;244;256;27;72;4087;1166;72;1422;15137
95;8371;83;189;90;197;4125;1240;197;552;4583
96;8343;408;472;649;2692;20324;24597;1163;896;3132
97;8332;488;82;10;51;2951;1144;41;2594;2951
98;8234;323;607;1214;3872;58320;68591;3866;1416;4804
100;8175;89;80;49;152;2600;946;152;495;5306
102;814;317;271;237;624;9584;9010;471;1385;4044
104;8131;425;286;27;111;4341;2740;106;1926;16078
105;8124;447;187;174;450;7974;6747;203;1299;4583
106;8103;443;154;391;1268;6208;11554;525;864;1588
107;806;418;200;154;442;4997;7990;258;2064;3245
108;7955;280;315;363;990;10708;10541;525;1068;295
109;7855;323;168;500;1329;26258;27603;1257;2067;5252
110;78;421;654;560;2310;21347;31955;1512;1395;3812
111;7736;269;511;378;1263;25298;14680;1120;1037;6693
112;7734;99;191;108;269;7667;2178;259;683;7099
113;7656;254;251;242;685;11676;11104;660;1698;4825
114;7645;400;442;708;2242;16064;22444;1108;101;2269
115;7635;314;345;22;124;6441;2990;120;2227;29277
116;7593;87;145;59;169;2478;1141;163;508;420
117;7584;540;314;30;116;10525;3607;115;2521;35083
118;7549;253;292;174;498;8286;5139;415;103;4762
119;7415;112;192;71;180;4405;1511;177;613;6204
120;7412;178;222;37;126;3821;1565;119;765;10327
121;7398;411;282;439;1265;15620;16924;657;1262;3558
122;7371;412;99;268;894;4332;8165;433;1037;1616
124;734;198;195;19;74;3115;962;74;105;16395
125;7268;219;209;468;1160;11262;11668;759;934;2406
126;7235;462;64;3;13;1522;291;13;1963;50733
127;7213;224;261;133;253;15864;4563;242;1682;11928
128;7205;466;293;34;105;6348;2694;105;2005;18671
129;7126;88;102;186;232;9102;2005;229;806;4894
130;7112;183;76;94;326;5314;2909;295;75;5653
131;7045;238;57;194;467;9000;6082;343;1272;4639
132;7036;207;66;18;53;2238;849;50;1453;12433
133;697;324;455;118;434;9878;5120;291;1042;8371
134;6963;420;246;383;1401;5961;10395;457;707;1556
135;6932;417;164;163;511;8843;7243;245;150;5425
136;6926;277;169;23;63;3205;961;63;124;13935
137;6849;325;239;289;815;9408;11765;385;1487;3255
139;68;328;122;261;758;12775;12510;660;1542;4895
140;676;91;129;28;105;1538;603;105;455;5493
141;6744;315;134;22;65;2911;1369;64;1898;13232
142;6732;282;287;115;537;7568;8341;532;1393;6581
143;6697;407;257;224;770;4714;8135;420;1158;2104
144;6695;454;739;1520;4812;13195;54840;1927;1362;868
145;6676;139;19;2;6;223;85;6;190;1115
146;663;315;83;392;779;40286;14639;480;1894;10277
147;6627;214;233;20;76;2999;1046;73;1033;14995
148;6625;371;97;172;448;9207;7366;337;1779;5353
150;6578;312;394;212;699;5673;7931;382;1148;2676
151;6568;402;89;183;561;7144;10678;384;198;3904
152;6556;260;177;184;467;1737;6538;430;1242;944
153;6541;74;269;90;227;9221;1508;227;533;10246
154;6536;344;188;158;474;8538;6251;266;118;5404
155;6494;363;147;141;416;8709;5549;211;1349;6177
156;6489;328;272;495;1511;9745;12350;602;82;1969
157;6479;335;79;90;293;4518;5483;236;1396;502
159;6429;360;228;27;73;3990;1560;73;1817;14778
160;6382;347;436;333;974;21965;19978;950;1814;6596
161;6361;248;265;331;1193;21378;15682;1105;1344;6459
162;6341;255;82;5;20;1003;363;20;1307;2006
163;6295;680;56;5;19;576;276;10;1608;1152
164;6267;262;168;221;784;17480;10755;781;1228;791
165;6248;230;194;87;190;7986;3386;174;1994;9179
166;6237;241;478;169;858;11168;10764;828;1231;6608
167;6237;287;404;629;2207;12527;13980;789;604;1992
168;6229;345;219;340;1086;6147;10018;452;1166;1808
169;622;177;164;65;224;4390;2203;204;876;6754
170;621;327;47;153;338;7112;6247;220;1666;4648
171;6194;335;210;151;415;19198;9683;412;2254;12714
173;615;76;111;256;208;10921;1328;193;394;4266
174;613;140;324;129;332;14798;4160;329;1194;11471
175;611;325;243;215;555;9879;7962;436;1329;4595
176;61;86;174;61;133;3931;995;131;566;6444
177;6087;69;112;44;219;2443;894;219;342;5552
178;6046;384;122;171;500;18367;11243;436;2088;10741
179;6024;135;210;36;176;2732;1524;174;682;7589
180;6008;278;399;493;1471;16743;17469;1133;1218;3396
181;5987;323;255;123;279;8925;4293;276;1471;7256
182;5945;257;674;2618;7411;157694;114231;7398;1478;6023
183;5944;59;142;83;324;3254;1385;320;385;392
184;5866;319;161;207;975;5376;8338;497;909;2597
185;5848;65;104;19;65;975;263;65;382;5132
186;5841;127;37;285;304;12144;3640;295;1197;4261
187;5804;219;174;37;72;4914;1345;71;1524;13281
188;5784;449;113;18;69;7054;1494;67;1749;39189
189;5769;195;467;87;376;5564;3809;373;928;6395
190;5767;255;199;234;245;6634;4366;242;1383;2835
191;5744;72;177;236;501;10836;2804;484;548;4592
192;5709;266;177;19;43;3643;716;43;1286;19174
193;5691;523;306;52;156;19968;4249;156;295;3840
194;568;71;72;30;114;1581;620;114;486;527
195;5679;590;212;38;91;14615;3317;91;3182;38461
196;5676;537;313;45;173;13042;5191;171;2675;28982
197;5662;169;241;949;1588;31379;18793;1587;1149;3307
198;5655;386;217;25;72;3306;1531;69;2356;13224
199;5639;265;79;223;666;10311;9097;442;1824;4624
200;5615;304;339;129;369;9628;5072;304;1169;7464
201;5601;269;156;350;961;10837;8096;500;82;3096
202;5573;263;612;3358;9896;219007;157802;9715;1604;6522
203;5565;279;376;2342;5461;165514;107981;5431;1941;7067
204;5564;316;312;105;344;11399;7177;336;2158;10856
205;5529;184;168;147;259;15307;3703;255;1417;10413
206;5509;234;246;256;699;8544;6267;518;881;3338
207;5484;205;417;267;891;19133;9151;769;100;7166
208;5448;137;22;19;55;811;616;55;1239;4268
209;5436;240;206;36;105;4701;1507;102;1077;13058
210;5409;183;377;256;656;6552;4987;463;692;2559
211;5406;252;132;336;521;15394;9655;466;1779;4582
212;5385;203;286;221;911;14673;8035;800;816;6639
213;5384;71;87;38;86;1924;450;83;544;5063
214;5374;249;101;300;801;14549;8460;555;101;485
215;5365;223;162;1564;1402;54875;21483;1402;1477;3509
216;5352;224;92;164;550;2723;3196;239;564;166
217;5338;307;247;37;87;12754;1791;87;2077;3447
218;5329;212;27;1;4;195;110;4;500;1950
219;5322;79;278;441;1000;23305;6501;992;564;5285
220;5294;198;262;304;776;21043;10733;766;1235;6922
221;5285;211;272;199;686;1904;6869;561;1039;957
222;5276;326;88;221;491;17881;11897;489;2497;8091
223;5219;77;180;142;423;7521;2147;419;422;5296
224;5209;295;146;189;514;9545;8378;441;1737;505
225;5205;241;111;219;706;7197;6762;446;972;3286
226;5202;593;110;0;37;0;816;36;1572;0
227;5196;151;126;28;64;3640;644;64;883;1300
228;5179;304;131;614;1429;48444;28881;1421;2044;789
229;517;197;48;32;74;2422;1012;74;1327;7569
230;5165;58;158;50;101;3359;539;101;477;6718
231;5158;250;103;81;192;9480;3203;190;1363;11704
232;5156;39;49;57;121;2533;305;121;169;4444
233;5127;269;370;140;427;8360;4729;331;993;5971
234;5118;236;211;521;1461;15031;19016;1458;115;2885
235;5117;237;527;533;1754;28750;21826;1711;1196;5394
236;5116;249;466;7717;18679;459949;301272;18386;1541;596
237;5109;286;209;352;1188;6681;7270;376;641;1898
